Release_quarter,net_sales,cost_of_sales,gross_profit,cash_and_temporary_investment,trade_accounts_receivables,other_receivables,inventories,other_current_assets,fixed_assets,other_assets,total_liabilities,consolidated_stockholder_equity,profit_margin,average_price_per_ton,number_of_unit_sold,unit_cost,unit_profit
2005_Q1,2585242,1538372,1046870,1296537,1678820,788371,1190353,145275,13623759,7747566,17819731,8650950,0.4049408,91.0,28409252.747252747,54.150385921318005,36.849614078681995
2005_Q2,4375937,2585820,1790117,1264807,1870546,609973,1116917,175715,13289809,7939772,16878682,9388857,0.409082,91.0,48087219.78021978,53.77353924428071,37.22646075571929
2005_Q3,4298068,2489581,1808487,512486,1795423,726536,1109255,181720,13228426,7728402,15244059,10038189,0.4207674,91.0,47231516.483516484,52.71016442736597,38.28983557263403
2005_Q4,3962557,2599091,1363466,601452,1592667,775526,1037183,159817,15541789,7055004,16409631,10353808,0.3440874,91.0,43544582.417582415,59.68804511834152,31.31195488165848
2006_Q1,3928749,2515485,1413264,687796,1569759,802893,1128150,208864,15576004,7275482,16484439,10764511,0.3597237,101.5,38706886.69950739,64.98804772206114,36.51195227793886
2006_Q2,4613517,2860137,1753380,707945,1644998,982251,1170277,151604,15915601,7244483,16192138,11625020,0.3800528,101.5,45453369.45812808,62.92464198137776,38.57535801862224
2006_Q3,4651489,2905786,1745703,769817,1590350,798850,1219695,136897,16118022,7246187,15234826,12644991,0.3752998,101.5,45827477.83251232,63.4070679302907,38.0929320697093
2006_Q4,4473525,3000715,1472810,1578785,1410696,785965,1192977,192490,17195752,7615365,15193432,14778599,0.3292281,101.5,44074137.93103448,68.08335093690098,33.416649063099015
2007_Q1,4300672,2806605,1494067,1187642,1500531,809013,1322733,190755,17171640,7546077,13982696,15745693,0.3474032,104.0,41352615.384615384,67.87007239798804,36.12992760201196
2007_Q2,4912924,3165091,1747833,2374030,1682585,1196311,1353603,214101,17593020,19803328,26685458,17531519,0.3557623,104.0,47239653.84615384,67.00072380521254,36.999276194787456
2007_Q3,6101213,4083858,2017355,1280697,2306666,1044342,1748293,395639,21537562,20400146,29529040,19184304,0.3306482,104.0,58665509.615384616,69.61258884094032,34.38741115905968
2007_Q4,5797791,4019392,1778399,794010,1897351,900175,1797681,219230,24009968,20044074,30967176,18695313,0.3067373,104.0,55747990.384615384,72.09931644655697,31.90068355344303
2008_Q1,5400459,3806801,1593658,713462,1907972,857704,1994720,534329,24575566,20478004,31460392,19601365,0.2950968,103.5,52178347.82608696,72.95748444715531,30.54251555284469
2008_Q2,6348211,4245403,2102808,711778,2207295,895966,2065462,248456,24924895,20861055,30569460,21345447,0.3312442,103.5,61335371.98067632,69.2162265085392,34.283773491460806
2008_Q3,5787399,3857369,1930030,1390068,1907715,948465,1891546,191247,22518465,20672104,29301436,20218175,0.3334883,103.5,55916898.55072464,68.98395833776105,34.51604166223895
2008_Q4,4465797,3108659,1357138,990099,1330144,808382,1627238,213423,20522189,19797307,28130381,17158402,0.303896,103.5,43147797.10144927,72.04676041029182,31.453239589708176
2009_Q1,3660122,2614977,1045145,767523,1417091,754223,1503761,276068,19783978,19628596,27478668,16652572,0.2855492,99.0,36970929.29292929,70.73062673867156,28.26937326132844
2009_Q2,4188108,2906510,1281598,978002,1561128,706376,1508945,261639,20740690,19693663,28226530,17223913,0.3060088,99.0,42304121.21212122,68.70512651536207,30.294873484637932
2009_Q3,4217079,2897058,1320021,487952,1631399,868082,1459134,208248,20805718,20075978,26276491,19260019,0.3130178,99.0,42596757.57575758,68.0112328936688,30.988767106331196
2009_Q4,3443799,2532490,911309,1077447,1022399,713536,1313277,210272,19775625,20398318,24926571,19584303,0.2646232,99.0,34785848.484848484,72.80230640638435,26.197693593615654
2010_Q1,3042648,2222758,819890,1467372,1115955,799949,1401185,288830,19370745,20552771,25615673,19381133,0.2694659,92.0,33072260.869565215,67.20913362308096,24.79086637691904
2010_Q2,3762241,2633978,1128263,747590,1043036,1268449,1344031,242743,18398670,19792803,25306112,17531209,0.2998912,92.0,40893923.91304348,64.41000882186972,27.589991178130276
2010_Q3,3765301,2668711,1096590,837728,1229536,1303995,1389799,229121,18818296,19823183,25919042,17712616,0.2912357,92.0,40927184.782608695,65.20631737011199,26.79368262988801
2010_Q4,3492052,2598623,893429,675888,986515,1304532,1257620,190268,18726346,18533358,24384885,17289642,0.2558464,92.0,37957086.956521735,68.46212942991686,23.537870570083143
2011_Q1,3384113,2421088,963025,656004,1299956,1086570,1413647,267356,18980911,18845449,25158933,17390961,0.2845724,89.5,37811318.43575419,64.0307743860799,25.469225613920102
2011_Q2,4090984,2938315,1152669,674801,1419647,959401,1386762,230435,18975809,18740025,25406624,16980255,0.2817584,89.5,45709318.43575419,64.28262552481262,25.217374475187384
2011_Q3,3967151,2668711,1298440,736267,1225392,718375,1309066,304368,17871469,17779706,24510219,15434425,0.3272979,89.5,44325709.4972067,60.20684226539398,29.29315773460602
2011_Q4,3706234,2686783,1019451,1155332,965056,605571,1256351,240269,17604806,17449021,24395588,14880817,0.2750639,89.5,41410435.754189946,64.88178525694815,24.61821474305185
2012_Q1,3502550,2561251,941299,1008067,2061938,470794,1317767,400955,17153366,17199452,27384170,12228170,0.2687468,89.5,39134636.87150838,65.44716406618035,24.05283593381965
2012_Q2,3861364,2704607,1156757,625081,2169761,466507,1304872,365228,16560420,16898131,26439703,11950296,0.2995721,89.5,43143731.84357542,62.68829525007226,26.811704749927742
2012_Q3,3899010,2701616,1197394,785237,2182687,499675,1288113,317606,16510203,17445786,26841805,12187503,0.3071021,89.5,43564357.54189944,62.01436569795923,27.485634302040772
2012_Q4,3709291,2574452,1134839,971027,1844177,485563,1282883,344014,16521491,15809110,25149388,12108880,0.305945,89.5,41444592.17877095,62.117923344380365,27.382076655619635
2013_Q1,3318617,2410019,908598,817055,1940064,512212,1309884,439472,16250297,16005062,24972252,12301791,0.2737881,95.0,34932810.52631579,68.99012600730967,26.00987399269033
2013_Q2,4005579,2725212,1280367,746281,2178453,492416,1250166,400579,15710860,15804691,24735001,11848445,0.3196459,95.0,42163989.473684214,64.63363723446722,30.366362765532784
2013_Q3,4022119,2724337,1297782,895371,2177678,548096,1276893,325180,15711679,16039491,25096945,11877443,0.3226613,95.0,42338094.7368421,64.34717993177229,30.65282006822771
2013_Q4,3872400,2626552,1245848,1162949,1990129,537155,1301565,299264,15763752,16962789,26652253,11365351,0.321725,95.0,40762105.2631579,64.43612230141514,30.56387769858486
2014_Q1,3590652,2604858,985794,844464,2141181,506442,1340436,371579,15586579,17055363,26402819,11443225,0.2745446,100.5,35727880.59701493,72.9082709769702,27.5917290230298
2014_Q2,4154222,2822996,1331226,737320,2169115,595427,1360355,332926,15576321,16941880,26044129,11669214,0.3204513,100.5,41335542.28855721,68.29464048864024,32.20535951135976
2014_Q3,4135473,2735149,1400324,1003757,2186922,549615,1322181,280462,14859755,16765274,25621513,11346453,0.3386128,100.5,41148985.07462686,66.46941583223975,34.03058416776025
2014_Q4,3837736,2525400,1312336,854096,1828622,300909,1226187,604136,13767183,16355156,24883959,10052330,0.3419558,100.5,38186427.86069652,66.13344430153612,34.366555698463884
2015_Q1,3399874,2367180,1032694,938840,1917426,389430,1226236,422456,13371249,16158876,24860270,9564242,0.3037448,106.5,31923699.53051643,74.15118030844673,32.348819691553274
2015_Q2,3838791,2538245,1300546,491656,2017652,378663,1192132,379941,13339772,16198785,24060390,9938211,0.3387905,106.5,36044985.91549296,70.41880959395809,36.08119040604191
2015_Q3,3651117,2411616,1239501,456650,1856308,331174,1090722,330078,12555240,15909873,23548739,9404687,0.3394854,106.5,34282788.73239437,70.3448024262164,36.155197573783596
2015_Q4,3416346,2238532,1177814,886830,1611980,279547,1028237,268797,12427900,14768789,21967255,9504848,0.3447584,106.5,32078366.1971831,69.78322980166529,36.716770198334714
2016_Q1,3198016,2169027,1028989,1273055,1724970,281517,1052331,352112,12347267,14865475,22839596,9353434,0.3217586,111.0,28810954.954954956,75.28480063889612,35.715199361103885
2016_Q2,3681586,2366649,1314937,614302,1735892,255941,955245,619851,11838207,14553131,21350783,9433265,0.3571659,111.0,33167441.441441443,71.35458441008848,39.64541558991152
2016_Q3,3578706,2277699,1301007,589738,1699570,249975,934325,248130,11592172,14267377,20443739,9925500,0.3635412,111.0,32240594.594594594,70.64692908554098,40.353070914459025
2016_Q4,3189654,2028234,1161420,557693,1445438,249952,862068,110595,10960933,13541848,19449961,9494456,0.364121,111.0,28735621.62162162,70.58256914386325,40.41743085613675
2017_Q1,3136603,2127150,1009453,434506,1645603,304065,995325,204834,11500855,13439133,19050714,10082862,0.32183,117.0,26808572.649572648,79.34588789209218,37.65411210790782
2017_Q2,3576672,2332812,1243860,417706,1744028,293376,1009237,183428,11812024,13675791,18605340,10777391,0.3477702,117.0,30569846.153846152,76.31088453176585,40.68911546823415
2017_Q3,3549077,2283987,1265090,449489,1729661,228942,991378,130549,11831863,13748556,18245955,10949016,0.3564561,117.0,30333991.452991452,75.29464111373183,41.70535888626817
2017_Q4,3424043,2239575,1184468,699288,1551066,252948,959407,98987,11814756,13437962,18176246,10708296,0.3459267,117.0,29265324.786324784,76.52657253428184,40.47342746571816
2018_Q1,3380543,2306823,1073720,313041,1716973,221859,1017816,195915,12020284,13545278,18143583,10965326,0.3176176,121.0,27938371.900826447,82.5682687662899,38.431731233710096
2018_Q2,3804821,2474241,1330580,308261,1809637,286737,1020267,167897,11487588,13414270,17526239,11064190,0.349709,121.0,31444801.652892563,78.6852156776889,42.3147843223111
2018_Q3,3747531,2438464,1309067,304332,1746453,305889,1061464,134695,11562935,13443710,17263441,11393855,0.3493145,121.0,30971330.578512397,78.73294283623004,42.26705716376996
2018_Q4,3450295,2289817,1160478,308784,1488426,312945,1081302,124535,11421903,13278763,16951419,11172140,0.3363417,121.0,28514834.710743804,80.3026573090127,40.6973426909873
2019_Q1,3238120,2238800,999320,300941,1633826,311768,1114269,173500,12019816,13047948,18085989,10814286,0.3086112,124.0,26113870.967741936,85.73221498894421,38.26778501105579
2019_Q2,3523070,2352336,1170734,304222,1718444,330797,1089136,157124,11958102,13175539,17916592,11053619,0.3323051,124.0,28411854.83870968,82.79417212828584,41.20582787171416
2019_Q3,3494091,2307458,1186633,299078,1660115,295426,1016551,122956,11717024,13208038,17450077,11058578,0.3396114,124.0,28178153.225806452,81.88819123485908,42.11180876514092
2019_Q4,3258674,2115947,1142727,787891,1520925,325141,989028,116647,11850116,12933530,18539142,10823247,0.3506724,124.0,26279629.032258064,80.51662363280279,43.48337636719721
2020_Q1,3085267,2119721,965546,1386584,1558743,365665,971315,135677,11071060,12749855,18423280,10174666,0.3129538,125.0,24682136.0,85.88077628289545,39.119223717104546
